gs-bkm-tfidf-1-1-6: [[0.39978434961752113, 0.35291541832623896], [0.3600435464359098, 0.29294325055117276], [0.3721493356596076, 0.3190967618236362], [0.3042857701974429, 0.23949376717498327], [0.3861422083799352, 0.33453311715108913], [0.3355112786925412, 0.28427178361485805], [0.32429268875198325, 0.25604660200198365], [0.3697108790775947, 0.32007415094734937], [0.34276429292572674, 0.27876036938489807], [0.3634419268937123, 0.29376932889328516], [0.3092876948046432, 0.24296941247294937], [0.318115319796152, 0.2748579949340166], [0.2921844462381936, 0.2456597206394184], [0.3314798448974457, 0.26559437252021845], [0.3179269677211967, 0.2542803044294747], [0.28744545690296364, 0.2319707770501329], [0.2829021028852848, 0.21554309246755624], [0.348838747737237, 0.2876134270824073], [0.25026783876866593, 0.18595389374129176], [0.34997448140782605, 0.29113406131011155]]
gs-bkm-tfidf-1-1-9: [[0.3314913217070125, 0.26136479063640233], [0.27699747532560715, 0.22294234363381468], [0.23341622689924355, 0.1607525770066067], [0.313718993658429, 0.27145099599212047], [0.2720686818413668, 0.21900462129881343], [0.42231065937151435, 0.3665122153867239], [0.3851337636392664, 0.32487802739591853], [0.40121278446082465, 0.34608207764506044], [0.33003872208539675, 0.2597260470133188], [0.29585175676708203, 0.21933300654389945], [0.3340164836802451, 0.2666879596122307], [0.26935598362864954, 0.22041677081001926], [0.45543320697783085, 0.40940863836196667], [0.30632068059204104, 0.23185858688089456], [0.3451694165195377, 0.26549940583429543], [0.32174816437849635, 0.2604577088795515], [0.36937890765832343, 0.31777044949494343], [0.21970257947569113, 0.15049736003090353], [0.3440503666838413, 0.2925814224213387], [0.38245330182653825, 0.2964866104123366]]
gs-bkm-tfidf-1-1-12: [[0.4131755682793496, 0.3589761841215701], [0.3287295835479175, 0.2580206320037267], [0.34693841058767666, 0.25449636075739024], [0.3970832233054484, 0.344310604235658], [0.3576260331726737, 0.2939041235103736], [0.2546965289071205, 0.19194196296105256], [0.2964351822824682, 0.22563221857777277], [0.29807698233962016, 0.2248641212853227], [0.32654523752203374, 0.2602894861841144], [0.3417836442172688, 0.27131848127537356], [0.35133293436066404, 0.2965231106646628], [0.3747396808042154, 0.3237607286227487], [0.33903643970127423, 0.2528662409195311], [0.43860665506099966, 0.389494713498935], [0.36518431125265427, 0.2912638663079928], [0.34053562616502425, 0.2724534125476676], [0.333665083108464, 0.2654087067888078], [0.3456149371362, 0.2906310217246523], [0.26641332385990685, 0.20988810531238616], [0.2749244525648839, 0.1960827506875407]]
gs-bkm-tfidf-1-1-15: [[0.2818458871443887, 0.20518542293474598], [0.3303357704289393, 0.26715939505470687], [0.3223523586251622, 0.25858152086429215], [0.4709344587616987, 0.4260272540420186], [0.4321394479470858, 0.3690346372270115], [0.4182468430781785, 0.37889236417449157], [0.37304341671266694, 0.33215806836370787], [0.3071755069434255, 0.2353209243906262], [0.4191158809084592, 0.35650100416456604], [0.35979666464087523, 0.2932344314787705], [0.3986388889103529, 0.324820132358784], [0.40230889466956893, 0.3248461850967227], [0.33359905670228424, 0.26920778774347465], [0.3723160121968373, 0.3119621640365551], [0.35953504700693184, 0.2781776908555688], [0.32320502545858, 0.2763814755826129], [0.31213857416474805, 0.28295403825497195], [0.40191366457699507, 0.3522986969258852], [0.3928007165134782, 0.36046498508248764], [0.30444150410803944, 0.20547963250571274]]
gs-bkm-tfidf-s-1-3: [[0.6562030836411076, 0.631991778713105], [0.6209333046220015, 0.5746930215056988], [0.6559615331488652, 0.6312513159396478], [0.6560513076268369, 0.632070641205353], [0.6561723047073417, 0.6319788716201208], [0.6567830706179263, 0.6319322355168986], [0.618812740405144, 0.5741376728584834], [0.6197754123250473, 0.5724624996715619], [0.602070394394652, 0.4940877243077898], [0.6562299865408315, 0.6321362446925138], [0.6560158432230007, 0.6318276536411543], [0.6557151219639825, 0.6320713223619433], [0.6143154226507582, 0.5769835309199939], [0.6308358209066385, 0.5933212621550048], [0.6136142146711905, 0.5560157895970835], [0.6139332630806424, 0.5715801106756381], [0.6560158432230007, 0.6318276536411543], [0.6560158432230007, 0.6318276536411543], [0.6559000220832593, 0.6312991808607263], [0.6560158432230008, 0.6318276536411543]]
gs-bkm-tfidf-s-1-6: [[0.6410621821916725, 0.6451782451843895], [0.679007478972118, 0.6831513343420328], [0.679111676330912, 0.6831801479002688], [0.6790993364642258, 0.683307318133576], [0.6790737409599019, 0.6831229824694652], [0.6790737409599018, 0.6831229824694652], [0.6792206046293567, 0.6835459397724527], [0.6791656111345044, 0.6832790023150849], [0.6790737409599018, 0.6831229824694652], [0.6307608509960854, 0.5770982904823779], [0.6794613107448572, 0.6834499044696183], [0.6412599501659898, 0.6456972834968141], [0.6408269006320805, 0.6445142569094967], [0.6409871776302698, 0.6450326426502415], [0.6790737409599019, 0.6831229824694652], [0.6438996514437825, 0.642512041335437], [0.6791656111345044, 0.6832790023150849], [0.6790737409599018, 0.6831229824694652], [0.6409588278579937, 0.6453197315208163], [0.6410836617304017, 0.6458393241660316]]
gs-bkm-tfidf-s-1-9: [[0.5801434691165448, 0.5639643928366918], [0.6075463072404441, 0.5679347382558049], [0.6069327889232036, 0.5676432729380163], [0.606364237423606, 0.5671175185922208], [0.6062954384674596, 0.5671969047898003], [0.6062700741395387, 0.5671329223974845], [0.6088485287526171, 0.5686215887833078], [0.6069601042175796, 0.567738276880105], [0.5696238784074684, 0.5012732701167676], [0.6069705202138254, 0.5675830092624476], [0.5603302915885497, 0.47373989253347354], [0.6081779406807797, 0.567781700538164], [0.5812240557215289, 0.5648817316585415], [0.6080557607729323, 0.5681732215261343], [0.5758210703345918, 0.537523827720928], [0.6067943265665847, 0.5675994917598556], [0.5762524527291916, 0.5382533615774283], [0.6080322470702558, 0.567577877864747], [0.5355608300970014, 0.4737682375186737], [0.5803720267147506, 0.565064106445801]]
gs-bkm-tfidf-s-1-12: [[0.4486286952845967, 0.4113658975604692], [0.4013214966804833, 0.36474986266659115], [0.4248337217556749, 0.37639716266563045], [0.448635906342734, 0.4109961161018885], [0.411759027134623, 0.36108791886687225], [0.4339264016487067, 0.3801297227464352], [0.439543500877041, 0.39207867298796933], [0.4127498779821203, 0.35247663635086823], [0.39915238727870817, 0.34493415463709465], [0.4397161666233593, 0.3721280463126835], [0.4541609802022112, 0.4046513387813227], [0.4685283883700328, 0.41588312984386044], [0.44933009177731276, 0.4111470762306909], [0.4485771925350603, 0.41136028389712237], [0.42443443373468637, 0.3778861195437695], [0.4474072685528436, 0.411180212192702], [0.4225939679667002, 0.3570330999574139], [0.4343718165784951, 0.37340842975563976], [0.43764004881949864, 0.3871650039610855], [0.45306550251770084, 0.40479652116121256]]
gs-bkm-tfidf-s-1-15: [[0.28324145133616563, 0.2376714879430955], [0.2757994948673632, 0.22937141916852902], [0.30501539146738704, 0.25406069137121645], [0.2973050499626445, 0.21912961487900437], [0.2908782108939977, 0.2396474810510746], [0.2673302072044842, 0.20314347586100076], [0.30199088605013374, 0.24954357626204798], [0.28901794094782896, 0.23048949182407252], [0.28625955658875163, 0.21003206471856628], [0.3031470900633173, 0.24921384463372226], [0.28205547673293163, 0.22047891921380058], [0.30079884024436604, 0.24928058773249998], [0.27952503285124936, 0.21525338201235752], [0.31385681084241945, 0.25834999765194383], [0.2956701852107442, 0.24469853905405356], [0.26916272770401817, 0.22077289091268146], [0.28285286279860133, 0.23228622760900347], [0.2897390760532291, 0.22482337735320868], [0.28025010266796724, 0.21696894569539452], [0.2681239532656757, 0.2151189086842407]]
bm-bkm-tfidf-1-1-3: [[0.27687299606969057, 0.16825195601116164], [0.27479206776078385, 0.16206521284891373], [0.2872899872407926, 0.19239579663165024], [0.2921579339314497, 0.19498938885913708], [0.2844768840132563, 0.19107688567795433], [0.29458430025449056, 0.19641741758048753], [0.2828902966839447, 0.1862502425838076], [0.28214754875765685, 0.18768176363830988], [0.2786160021445868, 0.18551830233241048], [0.27760023176980775, 0.18525687915125955], [0.28801913777285587, 0.17231476306793606], [0.27915054491477254, 0.18447013403583662], [0.2824779927102876, 0.18228871532219906], [0.2880427689406657, 0.19115096274779103], [0.27946055988224994, 0.1859263305246883], [0.28592405157878403, 0.19150369665002198], [0.27551051050160164, 0.1842844647715046], [0.2885652839440071, 0.19037065087852673], [0.26783085636973786, 0.15932877344871352], [0.2784922729875028, 0.16664462536548746]]
bm-bkm-tfidf-1-1-6: [[0.32273162380422415, 0.23413782645547526], [0.33747130338826237, 0.2490053980687836], [0.3438022950070189, 0.2512060890020094], [0.3502943479416165, 0.2584337576484228], [0.3327779174365179, 0.24707627648519243], [0.345439261434711, 0.23405550787129273], [0.32900927088374465, 0.2203557503026143], [0.3487639926404223, 0.25902550262584045], [0.3485647149141337, 0.25403533540506357], [0.34145196211217066, 0.25469859512699866], [0.351837370448608, 0.2602009476132265], [0.33700740665832546, 0.2479399062833782], [0.33395266753627467, 0.24896543377739516], [0.3311638759382155, 0.24251902206339945], [0.3353045913856406, 0.232959497846714], [0.33865778088792103, 0.2296616618199088], [0.3312293592334215, 0.22377487223946776], [0.34633064631841126, 0.2539459888333656], [0.35241383287269423, 0.2618246783989097], [0.36500692196348355, 0.2694074171152624]]
bm-bkm-tfidf-1-1-9: [[0.34014096561523316, 0.24853790319866165], [0.3188693289019639, 0.22829858365656522], [0.33779675191296493, 0.2445399977420577], [0.34098497455215937, 0.24810518705739443], [0.3418544584576435, 0.2506634829267613], [0.34126060088578936, 0.2539092223503223], [0.32629767383067787, 0.23854209733163348], [0.33854751450127524, 0.24617768854997593], [0.3462647260764981, 0.25244833634297104], [0.3441256513999239, 0.25310747887371776], [0.3367898838381614, 0.24586744632134355], [0.32819418129826317, 0.23764134891686206], [0.3316718289836221, 0.24134784579916743], [0.33153840054448913, 0.23995522884703113], [0.33479593336592434, 0.2434466866416461], [0.3376155965155901, 0.24659854711414744], [0.335704453838269, 0.2267856357381684], [0.33230312827538855, 0.24241873585354273], [0.33750541611068724, 0.24522739275899533], [0.3351201947852456, 0.24493045987234394]]
bm-bkm-tfidf-1-1-12: [[0.3286084847893967, 0.23645372639880427], [0.3260668678982568, 0.23340701623274213], [0.3279285922072977, 0.2214652294374222], [0.3424760177103755, 0.255927324568354], [0.3450730131220504, 0.2602414475583947], [0.32376030673897455, 0.22100967705045388], [0.32827087754524675, 0.2358439422106552], [0.3157492919237709, 0.22719972768179578], [0.32159692514449767, 0.2273339231588194], [0.32664518311109864, 0.23292703002161735], [0.3341800265153559, 0.2460364390705518], [0.32368050404464865, 0.23266388361738036], [0.34247939845657066, 0.25088850510388355], [0.34172774783691456, 0.2547618228478813], [0.3439018054586749, 0.25478143598709313], [0.3282338714086977, 0.24211242044670947], [0.33743993105888836, 0.24456847076829125], [0.3356403013942187, 0.2438657004999865], [0.3387496136556112, 0.2509759349256678], [0.34236457274723003, 0.2553085145617844]]
bm-bkm-tfidf-1-1-15: [[0.33651546570516216, 0.2499070885622495], [0.3271939746944068, 0.24037616473504508], [0.31691895300750417, 0.228316926242115], [0.33498986315280965, 0.24608330263175543], [0.3258136682834834, 0.231541499100062], [0.305286907270993, 0.20723351187536312], [0.3290534845558976, 0.23911049665296924], [0.32469893572169417, 0.23268374598348135], [0.330808197552341, 0.24192869010875306], [0.32518447207100565, 0.22990967996032108], [0.32300739957878066, 0.2117213582565925], [0.3284172416516279, 0.22576254558422118], [0.32064953462504303, 0.23017383940318192], [0.32337040845721177, 0.23634519053301128], [0.32957115353436806, 0.2379571526142717], [0.32361971177745325, 0.23544522334967694], [0.3344509058386747, 0.24624550942540072], [0.3231685781213473, 0.2325557303323476], [0.3234889058874028, 0.23027107764617005], [0.327659629214221, 0.2390313964355186]]
bm-bkm-tfidf-s-1-3: [[0.3052741405167398, 0.20537964583539128], [0.3157801890055319, 0.21427781007452754], [0.3119501970839223, 0.20624403917591533], [0.31556948351817354, 0.21451939677919396], [0.318380963941919, 0.2128802629566813], [0.3134403714919578, 0.2124861078483128], [0.31418050545368464, 0.20254287280747546], [0.316080951785854, 0.21196189244771146], [0.3109813540854957, 0.2053497962154124], [0.3066413951614382, 0.20200570872818546], [0.321502132904721, 0.2133283553081697], [0.3162522062941397, 0.2140279126469793], [0.30944585082984777, 0.20450806398863405], [0.3133122365637589, 0.21384558140748916], [0.31929044251230077, 0.2145644593017995], [0.3187718567817408, 0.1956858127825873], [0.3333538251564767, 0.22075502041601663], [0.3251290088689833, 0.21785576219705724], [0.3226588688231562, 0.21957140270534256], [0.31330914662064535, 0.21074532274656083]]
bm-bkm-tfidf-s-1-6: [[0.3731687484651495, 0.24956653556703584], [0.36671760651418345, 0.254982050570386], [0.37637346913689046, 0.2550462778903718], [0.36701790003160306, 0.22995881597656312], [0.3708707003082566, 0.255656402126389], [0.3663703311449603, 0.22798112354966624], [0.36374405403321763, 0.2373120784020896], [0.3723012257394433, 0.25240077055638954], [0.37593702495608133, 0.2550112429109022], [0.3717936423758489, 0.2418637097290213], [0.3705712571312546, 0.23699952342310837], [0.36337688328779205, 0.22556976713367527], [0.36075157844468536, 0.2284815109812187], [0.3743101534660843, 0.25318054236051635], [0.37124843707726146, 0.24279785676436866], [0.3750640867968828, 0.26030603756850484], [0.36120015330037136, 0.2417449585246256], [0.3707068673835791, 0.25531398882573225], [0.36759906352817456, 0.22966812601179476], [0.36970638727014976, 0.23412018374319524]]
bm-bkm-tfidf-s-1-9: [[0.39645981225897076, 0.28419879613979887], [0.3935404910776531, 0.27530897637145824], [0.3946191438874029, 0.280556475804581], [0.40041821826015184, 0.27819456094431677], [0.39355974491781454, 0.2672971112480235], [0.3905092165968032, 0.27528959798313296], [0.39156317687728004, 0.25728522613599164], [0.39513282786021336, 0.2649070977068611], [0.4034908815988925, 0.26877366904190914], [0.3944579652795254, 0.25944803749271483], [0.40324870726574136, 0.288725579410058], [0.4002906574711281, 0.28329674791645587], [0.4005553542021618, 0.28236813234163405], [0.4001434324903719, 0.28486830070066327], [0.39942127334097105, 0.2851574276326388], [0.39749934997911957, 0.28340519864286295], [0.3981091111354175, 0.28509611092088755], [0.40131860982660045, 0.27551382112050965], [0.3875605336655169, 0.2781839296428642], [0.40175773498109024, 0.28175990459287226]]
bm-bkm-tfidf-s-1-12: [[0.3800992419531433, 0.2605741947631367], [0.3859668357609739, 0.2698605187394812], [0.37401978033147837, 0.25569960007317905], [0.3771211443148326, 0.25885555749393213], [0.3815315913885595, 0.27514108139426957], [0.37234663129365825, 0.262946244852913], [0.36997458366845304, 0.2507059962166012], [0.36980232722636097, 0.26213763120134664], [0.370490431889658, 0.253720620968059], [0.38817393668880934, 0.2777287401800483], [0.3742146220842887, 0.2584071950342285], [0.37968763159224445, 0.2572815463848358], [0.37952850495260015, 0.27307877753966453], [0.3664116389071025, 0.2632319715767607], [0.37043209377850955, 0.26951339959042975], [0.36802713748791915, 0.26297479028688553], [0.37087790593510955, 0.26405860654032737], [0.38468779618763366, 0.27641908014926153], [0.3787238755318478, 0.2734820961900037], [0.3724138002012834, 0.25503049853813425]]
