gs-skipgram-21: {'nmi': 58.2908, 'ari': 55.4953, 'acc': 73.7447, 'loss': 0.0462}
gs-skipgram-22: {'nmi': 57.4338, 'ari': 55.0673, 'acc': 74.5158, 'loss': 0.0422}
gs-skipgram-23: {'nmi': 56.2628, 'ari': 53.4133, 'acc': 72.1775, 'loss': 0.0385}
gs-skipgram-24: {'nmi': 58.3075, 'ari': 56.3781, 'acc': 75.188, 'loss': 0.0402}
gs-skipgram-25: {'nmi': 56.5041, 'ari': 53.5766, 'acc': 72.6451, 'loss': 0.0339}
gs-skipgram-26: {'nmi': 56.6596, 'ari': 53.569, 'acc': 72.6009, 'loss': 0.0355}
gs-skipgram-27: {'nmi': 58.3784, 'ari': 56.1191, 'acc': 75.3797, 'loss': 0.0369}
gs-skipgram-28: {'nmi': 58.381, 'ari': 56.1937, 'acc': 75.3651, 'loss': 0.0381}
gs-skipgram-29: {'nmi': 58.5871, 'ari': 56.1499, 'acc': 74.8756, 'loss': 0.0335}
gs-skipgram-30: {'nmi': 56.0939, 'ari': 52.5998, 'acc': 71.299, 'loss': 0.0321}
gs-skipgram-31: {'nmi': 55.2856, 'ari': 51.9978, 'acc': 70.7889, 'loss': 0.0341}
gs-skipgram-32: {'nmi': 57.0486, 'ari': 54.5385, 'acc': 72.831, 'loss': 0.0329}
gs-skipgram-33: {'nmi': 57.9188, 'ari': 55.2074, 'acc': 72.4068, 'loss': 0.034}
gs-skipgram-34: {'nmi': 60.1035, 'ari': 57.8913, 'acc': 75.5709, 'loss': 0.032}
gs-skipgram-35: {'nmi': 59.0261, 'ari': 56.7932, 'acc': 74.314, 'loss': 0.0294}
gs-skipgram-36: {'nmi': 57.0714, 'ari': 53.8661, 'acc': 72.3412, 'loss': 0.0332}
gs-skipgram-37: {'nmi': 58.3285, 'ari': 56.1481, 'acc': 74.6106, 'loss': 0.0333}
gs-skipgram-38: {'nmi': 59.2799, 'ari': 57.1846, 'acc': 75.5166, 'loss': 0.03}
gs-skipgram-39: {'nmi': 60.5535, 'ari': 58.8422, 'acc': 76.7516, 'loss': 0.0301}
gs-skipgram-40: {'nmi': 58.4554, 'ari': 56.2459, 'acc': 74.72, 'loss': 0.0296}
gs-skipgram-41: {'nmi': 57.5969, 'ari': 55.194, 'acc': 74.0049, 'loss': 0.0268}
gs-skipgram-42: {'nmi': 57.9599, 'ari': 55.2703, 'acc': 73.425, 'loss': 0.0257}
gs-skipgram-43: {'nmi': 58.6835, 'ari': 56.4274, 'acc': 74.8254, 'loss': 0.0284}
gs-skipgram-44: {'nmi': 57.8027, 'ari': 54.492, 'acc': 72.3537, 'loss': 0.0273}
gs-skipgram-45: {'nmi': 58.6141, 'ari': 55.9156, 'acc': 74.2889, 'loss': 0.0268}
gs-skipgram-46: {'nmi': 57.7049, 'ari': 54.7434, 'acc': 72.7788, 'loss': 0.0274}
gs-skipgram-47: {'nmi': 60.493, 'ari': 59.2935, 'acc': 77.5685, 'loss': 0.0272}
gs-skipgram-48: {'nmi': 61.0194, 'ari': 59.4955, 'acc': 77.1337, 'loss': 0.0278}
gs-skipgram-49: {'nmi': 59.3789, 'ari': 56.6604, 'acc': 74.5742, 'loss': 0.0276}
gs-skipgram-50: {'nmi': 59.7059, 'ari': 57.7826, 'acc': 76.3975, 'loss': 0.0281}
gs-skipgram-51: {'nmi': 57.4685, 'ari': 54.618, 'acc': 73.6653, 'loss': 0.0236}
gs-skipgram-52: {'nmi': 57.7983, 'ari': 55.1768, 'acc': 74.2468, 'loss': 0.0268}
gs-skipgram-53: {'nmi': 58.966, 'ari': 56.8773, 'acc': 75.2204, 'loss': 0.026}
gs-skipgram-54: {'nmi': 60.0513, 'ari': 58.8886, 'acc': 77.8821, 'loss': 0.027}
gs-skipgram-55: {'nmi': 59.529, 'ari': 57.7416, 'acc': 75.8233, 'loss': 0.0257}
gs-skipgram-56: {'nmi': 58.6823, 'ari': 56.2697, 'acc': 74.1021, 'loss': 0.0236}
gs-skipgram-57: {'nmi': 59.1076, 'ari': 56.5588, 'acc': 74.2476, 'loss': 0.026}
gs-skipgram-58: {'nmi': 59.9364, 'ari': 58.0908, 'acc': 76.0539, 'loss': 0.0259}
gs-skipgram-59: {'nmi': 60.1316, 'ari': 58.4763, 'acc': 77.3051, 'loss': 0.0243}
gs-skipgram-60: {'nmi': 59.571, 'ari': 57.2565, 'acc': 75.3197, 'loss': 0.0275}
gs-skipgram-61: {'nmi': 59.8248, 'ari': 57.7769, 'acc': 76.3314, 'loss': 0.0229}
gs-skipgram-62: {'nmi': 59.1363, 'ari': 56.7966, 'acc': 75.6313, 'loss': 0.026}
gs-skipgram-63: {'nmi': 58.4964, 'ari': 55.5351, 'acc': 73.5985, 'loss': 0.0281}
gs-skipgram-64: {'nmi': 59.7335, 'ari': 57.6368, 'acc': 75.5373, 'loss': 0.0261}
gs-skipgram-65: {'nmi': 59.8507, 'ari': 57.7144, 'acc': 75.7747, 'loss': 0.0228}
gs-skipgram-66: {'nmi': 58.6791, 'ari': 55.6593, 'acc': 72.8148, 'loss': 0.024}
gs-skipgram-67: {'nmi': 60.0046, 'ari': 57.925, 'acc': 76.064, 'loss': 0.0251}
gs-skipgram-68: {'nmi': 59.4847, 'ari': 56.9807, 'acc': 75.0859, 'loss': 0.0228}
gs-skipgram-69: {'nmi': 59.7409, 'ari': 57.6352, 'acc': 75.7431, 'loss': 0.0233}
gs-skipgram-70: {'nmi': 59.5114, 'ari': 57.3745, 'acc': 75.2257, 'loss': 0.0238}
gs-skipgram-71: {'nmi': 58.9039, 'ari': 56.1362, 'acc': 73.9733, 'loss': 0.0258}
gs-skipgram-72: {'nmi': 59.7143, 'ari': 57.615, 'acc': 75.3468, 'loss': 0.0233}
gs-skipgram-73: {'nmi': 57.8993, 'ari': 55.1649, 'acc': 72.6203, 'loss': 0.0246}
gs-skipgram-74: {'nmi': 59.9324, 'ari': 58.1022, 'acc': 75.9745, 'loss': 0.0238}
gs-skipgram-75: {'nmi': 58.992, 'ari': 56.6575, 'acc': 74.6605, 'loss': 0.0235}
gs-skipgram-76: {'nmi': 58.0927, 'ari': 55.4652, 'acc': 73.8148, 'loss': 0.0228}
gs-skipgram-77: {'nmi': 58.6626, 'ari': 56.1562, 'acc': 74.5604, 'loss': 0.0223}
gs-skipgram-78: {'nmi': 58.7001, 'ari': 56.1311, 'acc': 74.154, 'loss': 0.0223}
gs-skipgram-79: {'nmi': 59.8004, 'ari': 57.7501, 'acc': 76.0616, 'loss': 0.0241}
gs-skipgram-80: {'nmi': 59.3625, 'ari': 57.4957, 'acc': 75.6605, 'loss': 0.0221}
gs-skipgram-81: {'nmi': 59.0028, 'ari': 56.4533, 'acc': 74.4753, 'loss': 0.0207}
gs-skipgram-82: {'nmi': 58.4216, 'ari': 55.6986, 'acc': 73.6694, 'loss': 0.0221}
gs-skipgram-83: {'nmi': 59.2043, 'ari': 56.8806, 'acc': 75.3509, 'loss': 0.0232}
gs-skipgram-84: {'nmi': 58.8048, 'ari': 56.3917, 'acc': 74.5843, 'loss': 0.0218}
gs-skipgram-85: {'nmi': 58.8825, 'ari': 56.7145, 'acc': 75.1495, 'loss': 0.0235}
gs-skipgram-86: {'nmi': 58.436, 'ari': 55.8603, 'acc': 74.4923, 'loss': 0.0222}
gs-skipgram-87: {'nmi': 58.1952, 'ari': 55.4026, 'acc': 73.6637, 'loss': 0.0225}
gs-skipgram-88: {'nmi': 58.8801, 'ari': 56.4788, 'acc': 75.1098, 'loss': 0.0203}
gs-skipgram-89: {'nmi': 58.193, 'ari': 55.4351, 'acc': 73.782, 'loss': 0.0212}
gs-skipgram-90: {'nmi': 58.9566, 'ari': 56.728, 'acc': 74.84, 'loss': 0.0208}
gs-skipgram-91: {'nmi': 58.1377, 'ari': 55.0415, 'acc': 72.9862, 'loss': 0.0209}
gs-skipgram-92: {'nmi': 59.0734, 'ari': 56.7504, 'acc': 74.7042, 'loss': 0.0207}
